,SalePrice
909,11.824079893607152
458,12.373703486914124
1726,12.429216196844385
1737,11.829559359371776
947,12.66539442642905
934,13.028052697933088
339,12.0435537160324
402,11.761346823468706
1032,12.35017298950393
765,12.154779351142624
1572,12.235631447771718
1713,11.280678099406549
1616,12.24288661865289
250,12.577636201962656
400,11.940393392554734
664,12.476099782743232
196,12.32048556427219
1587,12.394624752074764
785,11.755871643580615
296,11.570250531589496
285,12.111761966058932
1773,11.532728092266408
1369,11.626254150277232
1303,12.751299696013495
445,11.728036844587177
274,12.106252310247962
1356,12.269047444691562
1208,12.425208175446844
481,12.0015054797889
1165,12.321630986164449
1394,11.870599909242044
299,12.154779351142624
1541,12.904207367601158
189,12.79917570886452
1875,11.918390573078392
758,11.740061037553977
1408,12.384218830913648
812,12.220961258023925
1566,12.323855681186558
1469,11.789799338705404
1868,12.087429865399402
1701,12.281643832377249
776,11.786762130599955
1424,12.581078546153629
1418,11.532728092266408
1212,11.686038082678872
1134,11.635143097694478
271,11.917723684090689
443,12.031719258385396
444,12.122691036591124
325,11.911701584927595
809,12.301382825334498
1609,12.245293358683456
1239,12.269047444691562
847,12.089538829274222
337,12.031719258385396
976,12.45254202214788
648,12.250089530946948
1085,11.901583454762012
2003,11.626254150277232
1055,12.765688433465597
504,12.330500223905226
1468,11.875830958659597
1226,13.122363377404328
1992,12.367340793126296
1782,11.728036844587177
1001,11.982929094215963
78,11.946654038351252
659,11.794337924408412
1415,11.982616545377663
981,11.908340237224891
1594,11.790557201568507
912,12.230765258120543
1435,12.614865543731012
1071,12.273731294003989
1888,11.695247021764184
159,11.80894766169701
1753,11.511924964636645
173,11.894780707439258
1191,10.932981961904137
661,12.520883385370206
1353,12.206072645530174
1108,12.0015054797889
1828,12.41186655850927
281,12.823868388846332
988,12.736700896592344
420,12.160028707028768
1761,12.0435537160324
1710,11.728036844587177
81,13.1260306447518
726,12.928980064352745
1089,12.406561506279576
1628,12.078239274020287
192,12.185869938212656
965,12.144197241812089
1263,12.180754837545884
1548,12.0015054797889
545,12.2783933071098
1281,11.969717200243734
387,12.587927887999204
1092,11.289781913656018
617,11.891361900690471
761,12.468436909997664
